id,GT,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
s_1,4,0.59053,0.16667,0.64286,1.00000,0.50000,0.50000,0.32000,0.20000,0.09434,0.07692,0.33333,1.00000,0.09091
s_2,4,0.37642,0.50000,0.63158,0.13857,0.16667,1.00000,0.16667,0.17321,0.21429,0.33333,0.33333,1.00000,0.00000
s_3,3,0.53005,0.33333,0.50000,0.27500,0.08872,1.00000,0.04762,0.25000,0.08108,0.11111,0.00000,0.00000,1.00000
s_4,3,0.64933,0.33333,0.73333,1.00000,0.33333,0.33333,0.32258,0.20000,0.17647,0.25000,0.00000,0.00000,0.20000
s_5,2,0.16434,0.20000,0.24000,0.25631,0.00000,1.00000,0.00000,0.10098,0.00000,0.00000,0.20000,0.00000,1.00000
s_6,1,0.16924,0.20000,0.27273,0.23624,1.00000,1.00000,0.04762,1.00000,0.02564,0.06667,0.00000,1.00000,1.00000
s_7,5,0.43532,0.16667,0.53333,1.00000,1.00000,1.00000,0.13333,0.33333,0.03571,0.15789,0.00000,0.00000,0.33333
s_8,4,0.53595,0.33333,0.69231,1.00000,0.20000,1.00000,0.23077,0.25000,0.04167,0.27273,0.00000,0.00000,0.00000
s_9,4,0.48317,0.33333,0.66667,1.00000,0.33333,0.50000,0.31579,0.33333,0.00000,0.16667,0.00000,0.50000,0.00000
s_10,3,0.39510,0.16667,0.50000,0.31667,0.06284,1.00000,0.10000,0.33333,0.00000,0.00000,0.50000,0.00000,0.00000
s_11,4,0.57446,0.20000,0.64706,1.00000,1.00000,0.50000,0.24138,0.20000,0.00000,0.11111,0.20000,0.00000,0.20000
s_12,4,0.82150,0.20000,0.81250,1.00000,1.00000,1.00000,0.36364,0.20000,0.03226,0.04762,0.00000,0.00000,0.33333
s_13,5,0.80296,0.16667,0.75000,0.58333,1.00000,0.50000,0.14815,0.33333,0.01961,0.00000,0.14286,0.33333,0.00000
s_14,5,0.87346,0.25000,0.85714,0.00000,0.50000,0.00000,0.33333,0.50000,0.04918,0.00000,0.00000,1.00000,0.20000
s_15,5,0.39218,0.20000,0.50000,0.28718,0.00000,1.00000,0.09091,1.00000,0.09091,0.09091,0.00000,0.00000,0.00000
s_16,3,0.54881,1.00000,0.63158,0.15873,0.50000,0.00000,0.23810,0.33333,0.02564,0.00000,0.16667,0.00000,0.00000
s_17,5,0.57138,0.33333,0.66667,0.19722,1.00000,1.00000,0.07692,1.00000,0.11111,0.20000,0.50000,0.00000,0.33333
s_18,4,0.45787,0.20000,0.42105,1.00000,0.50000,0.09365,0.10526,0.50000,0.05882,0.00000,0.14286,0.00000,0.00000
s_19,3,0.39735,0.33333,0.60000,0.22002,0.00000,1.00000,0.17647,1.00000,0.14286,0.00000,0.50000,1.00000,0.00000
